Stkcd,Indnme,Nindnme,Nnindnme,enNindnme
990,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
993,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
995,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
996,商业,批发和零售贸易,批发业,Wholesale and retail trade
997,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
998,综合,农业,农业,Agricultural
999,工业,医药制造业,医药制造业,Pharmaceutical industry
1201,综合,畜牧业,畜牧业,Animal husbandry
1202,公用事业,交通运输辅助业,装卸搬运和运输代理业,Traffic and transportation auxiliary industry
1203,工业,黑色金属矿采选业,黑色金属矿采选业,Ferrous metal mining industry
1205,公用事业,水上运输业,水上运输业,Water transport
1206,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
1207,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
1208,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
1209,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
1210,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
1211,工业,木材加工及竹、藤、棕、草制品业,木材加工及木、竹、藤、棕、草制品业,"Wood processing and bamboo, rattan, brown, grass products industry"
1212,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
1213,公用事业,铁路运输业,铁路运输业,Railway transportation
1215,工业,食品制造业,食品制造业,Food manufacturing industry
1216,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
1217,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
1218,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
1219,工业,食品制造业,食品制造业,Food manufacturing industry
1227,金融,银行业,货币金融服务,Banking
1234,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
1266,工业,仪器仪表及文化、办公用机械制造业,仪器仪表制造业,"Instrumentation and cultural, office machinery manufacturing"
1267,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
1288,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
1289,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
1296,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
1313,工业,食品加工业,农副食品加工业,Food processing industry
1317,公用事业,交通运输辅助业,装卸搬运和运输代理业,Traffic and transportation auxiliary industry
1696,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
1872,公用事业,水上运输业,水上运输业,Water transport
1896,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
1914,房地产,房地产业,房地产业,Real estate
1965,公用事业,公路运输业,道路运输业,Highway transport industry
1979,房地产,房地产业,房地产业,Real estate
2001,工业,医药制造业,医药制造业,Pharmaceutical industry
2002,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2003,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
2004,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2005,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2006,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2007,工业,医药制造业,医药制造业,Pharmaceutical industry
2008,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2009,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2010,公用事业,其他社会服务业,商务服务业,Other social services
2011,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2012,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
2013,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
2014,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2015,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
2016,房地产,房地产业,房地产业,Real estate
2017,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2018,商业,批发和零售贸易,批发业,Wholesale and retail trade
2019,工业,医药制造业,医药制造业,Pharmaceutical industry
2020,工业,医药制造业,医药制造业,Pharmaceutical industry
2021,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2022,工业,医药制造业,医药制造业,Pharmaceutical industry
2023,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
2024,商业,零售业,零售业,Retail industry
2025,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2026,工业,金属制品业,金属制品业,Metal product industry
2027,公用事业,其他社会服务业,商务服务业,Other social services
2028,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2029,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
2030,工业,医药制造业,医药制造业,Pharmaceutical industry
2031,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2032,工业,金属制品业,金属制品业,Metal product industry
2033,公用事业,公共设施服务业,公共设施管理业,Public facilities service
2034,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
2035,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2036,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2037,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2038,工业,医药制造业,医药制造业,Pharmaceutical industry
2039,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
2040,公用事业,水上运输业,水上运输业,Water transport
2041,综合,农业,农业,Agricultural
2042,工业,纺织业,纺织业,Textile industry
2043,工业,木材加工及竹、藤、棕、草制品业,木材加工及木、竹、藤、棕、草制品业,"Wood processing and bamboo, rattan, brown, grass products industry"
2044,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
2045,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2046,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2047,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
2048,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2049,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2050,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2051,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2052,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2053,工业,食品制造业,食品制造业,Food manufacturing industry
2054,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2055,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2056,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2057,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2058,工业,仪器仪表及文化、办公用机械制造业,仪器仪表制造业,"Instrumentation and cultural, office machinery manufacturing"
2059,公用事业,公共设施服务业,公共设施管理业,Public facilities service
2060,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2061,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2062,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2063,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2064,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
2065,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2066,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2067,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
2068,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2069,综合,渔业,渔业,Fishery
2070,工业,纺织业,纺织业,Textile industry
2071,公用事业,广播电影电视业,广播、电视、电影和影视录音制作业,"Radio, film and television"
2072,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2073,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2074,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2075,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
2076,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2077,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2078,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
2079,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2080,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2081,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
2082,工业,医药制造业,医药制造业,Pharmaceutical industry
2083,工业,纺织业,纺织业,Textile industry
2084,工业,金属制品业,金属制品业,Metal product industry
2085,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2086,综合,渔业,渔业,Fishery
2087,工业,纺织业,纺织业,Textile industry
2088,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2089,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2090,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2091,商业,批发和零售贸易,批发业,Wholesale and retail trade
2092,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2093,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2094,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2095,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2096,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2097,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2098,工业,其他制造业,其他制造业,Other manufacturing industries
2099,工业,医药制造业,医药制造业,Pharmaceutical industry
2100,工业,食品加工业,农副食品加工业,Food processing industry
2101,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2102,工业,医药制造业,医药制造业,Pharmaceutical industry
2103,公用事业,其他社会服务业,商务服务业,Other social services
2104,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2105,工业,交通运输设备制造业,铁路、船舶、航空航天和其它运输设备制造业,Transportation equipment manufacturing industry
2106,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2107,工业,医药制造业,医药制造业,Pharmaceutical industry
2108,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2109,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2110,工业,黑色金属冶炼及压延加工业,黑色金属冶炼及压延加工业,Smelting and pressing of ferrous metals
2111,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2112,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2113,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2114,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2115,公用事业,其他社会服务业,商务服务业,Other social services
2116,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2117,工业,印刷业,印刷和记录媒介复制业,Printing industry
2118,工业,医药制造业,医药制造业,Pharmaceutical industry
2119,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2120,公用事业,邮政服务业,邮政业,Postal service industry
2121,工业,仪器仪表及文化、办公用机械制造业,仪器仪表制造业,"Instrumentation and cultural, office machinery manufacturing"
2122,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2123,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2124,综合,畜牧业,畜牧业,Animal husbandry
2125,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2126,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2127,公用事业,其他社会服务业,商务服务业,Other social services
2128,工业,煤炭采选业,煤炭开采和洗选业,Mining and washing of coal industry
2129,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2130,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2131,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2132,工业,金属制品业,金属制品业,Metal product industry
2133,房地产,房地产业,房地产业,Real estate
2134,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2135,工业,金属制品业,金属制品业,Metal product industry
2136,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2137,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2138,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2139,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2140,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2141,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2142,金融,银行业,货币金融服务,Banking
2143,公用事业,其他社会服务业,商务服务业,Other social services
2144,工业,纺织业,纺织业,Textile industry
2145,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2146,房地产,房地产业,房地产业,Real estate
2147,房地产,房地产业,房地产业,Real estate
2148,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2149,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2150,工业,金属制品业,金属制品业,Metal product industry
2151,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2152,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2153,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2154,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
2155,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
2156,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2157,综合,畜牧业,畜牧业,Animal husbandry
2158,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2159,公用事业,公共设施服务业,公共设施管理业,Public facilities service
2160,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2161,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2162,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2163,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
2164,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2165,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2166,工业,医药制造业,医药制造业,Pharmaceutical industry
2167,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2168,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2169,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2170,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2171,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2172,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
2173,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
2174,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2175,工业,仪器仪表及文化、办公用机械制造业,仪器仪表制造业,"Instrumentation and cultural, office machinery manufacturing"
2176,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2177,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2178,公用事业,专业、科研服务业,专业技术服务业,Professional and scientific research services
2179,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2180,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2181,公用事业,其他社会服务业,商务服务业,Other social services
2182,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2183,公用事业,其他社会服务业,商务服务业,Other social services
2184,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2185,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2186,商业,餐饮业,餐饮业,Catering industry
2187,商业,零售业,零售业,Retail industry
2188,公用事业,其他社会服务业,商务服务业,Other social services
2189,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2190,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2191,工业,印刷业,印刷和记录媒介复制业,Printing industry
2192,工业,有色金属矿采选业,有色金属矿采选业,Non-ferrous metals mining and dressing
2193,工业,纺织业,纺织业,Textile industry
2194,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2195,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2196,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2197,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2198,工业,医药制造业,医药制造业,Pharmaceutical industry
2199,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2200,综合,林业,林业,Forestry
2201,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2202,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2203,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2204,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2205,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2206,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
2207,工业,采掘服务业,开采辅助活动,Extractive service industry
2208,房地产,房地产业,房地产业,Real estate
2209,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2210,公用事业,其他社会服务业,商务服务业,Other social services
2211,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2212,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2213,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2214,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2215,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2216,工业,食品制造业,食品制造业,Food manufacturing industry
2217,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2218,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2219,公用事业,卫生、保健、护理服务业,卫生,"Health, health care, nursing services"
2220,工业,食品加工业,农副食品加工业,Food processing industry
2221,商业,批发和零售贸易,批发业,Wholesale and retail trade
2222,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2223,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2224,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2225,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2226,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2227,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2228,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
2229,工业,印刷业,印刷和记录媒介复制业,Printing industry
2230,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2231,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2232,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2233,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2234,综合,畜牧业,畜牧业,Animal husbandry
2235,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2236,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2237,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2238,公用事业,通信服务业,电信、广播电视和卫星传输服务,Communication service industry
2239,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2240,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2241,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2242,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2243,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2244,房地产,房地产业,房地产业,Real estate
2245,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2246,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2247,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2248,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2249,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2250,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2251,商业,零售业,零售业,Retail industry
2252,工业,医药制造业,医药制造业,Pharmaceutical industry
2253,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2254,工业,化学纤维制造业,化学纤维制造业,Chemical fiber manufacturing industry
2255,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2256,工业,电力、蒸汽、热水的生产和供应业,电力、热力生产和供应业,"The production and supply of electricity, steam and hot water"
2258,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2259,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
2260,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2261,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2262,工业,医药制造业,医药制造业,Pharmaceutical industry
2263,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2264,商业,零售业,零售业,Retail industry
2265,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2266,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
2267,工业,煤气生产和供应业,燃气生产和供应业,Gas production and supply industry
2268,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2269,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
2270,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2271,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2272,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2273,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2274,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2275,工业,医药制造业,医药制造业,Pharmaceutical industry
2276,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2277,商业,零售业,零售业,Retail industry
2278,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2279,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2280,商业,零售业,零售业,Retail industry
2281,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2282,工业,普通机械制造业,通用设备制造业,General machinery manufacturing
2283,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2284,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2285,房地产,房地产业,房地产业,Real estate
2286,工业,食品加工业,农副食品加工业,Food processing industry
2287,工业,医药制造业,医药制造业,Pharmaceutical industry
2288,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2289,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2290,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2291,工业,服装及其他纤维制品制造业,纺织服装、服饰业,Manufacturing of clothing and other fiber products
2292,工业,文教体育用品制造业,文教、工美、体育和娱乐用品制造业,"Culture, education and sporting goods manufacturing industry"
2293,工业,纺织业,纺织业,Textile industry
2294,工业,医药制造业,医药制造业,Pharmaceutical industry
2295,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2296,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2297,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2298,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2299,综合,畜牧业,畜牧业,Animal husbandry
2300,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2301,工业,文教体育用品制造业,文教、工美、体育和娱乐用品制造业,"Culture, education and sporting goods manufacturing industry"
2302,工业,非金属矿物制品业,非金属矿物制品业,Manufacture of non-metallic mineral products
2303,工业,造纸及纸制品业,造纸及纸制品业,Paper making and paper products industry
2304,工业,饮料制造业,酒、饮料和精制茶制造业,Beverage manufacturing industry
2305,房地产,房地产业,房地产业,Real estate
2306,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2307,房地产,土木工程建筑业,土木工程建筑业,Civil engineering construction industry
2308,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2309,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2310,公用事业,其他社会服务业,生态保护和环境治理业,Other social services
2311,工业,食品加工业,农副食品加工业,Food processing industry
2312,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2313,工业,信息技术业,计算机、通信和其他电子设备制造业,Information technology industry
2314,房地产,房地产业,房地产业,Real estate
2315,公用事业,计算机应用服务业,互联网和相关服务,Computer application services
2316,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2317,工业,医药制造业,医药制造业,Pharmaceutical industry
2318,工业,金属制品业,金属制品业,Metal product industry
2319,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2320,公用事业,水上运输业,水上运输业,Water transport
2321,综合,畜牧业,畜牧业,Animal husbandry
2322,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2323,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
2324,工业,石油、化学、塑胶、塑料,橡胶和塑料制品业,"Petroleum, chemicals, plastics"
2325,综合,装修装饰业,建筑装饰和其他建筑业,Buildings completing
2326,工业,化学原料及化学制品制造业,化学原料及化学制品制造业,Manufacture of raw chemical materials and chemical products
2327,工业,纺织业,纺织业,Textile industry
2328,工业,交通运输设备制造业,汽车制造业,Transportation equipment manufacturing industry
2329,工业,食品制造业,食品制造业,Food manufacturing industry
2330,工业,食品加工业,农副食品加工业,Food processing industry
2331,公用事业,计算机应用服务业,软件和信息技术服务业,Computer application services
2332,工业,医药制造业,医药制造业,Pharmaceutical industry
2333,工业,有色金属冶炼及压延加工业,有色金属冶炼及压延加工业,Smelting and pressing of non-ferrous metals
2334,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2335,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
2336,商业,零售业,零售业,Retail industry
2337,工业,专用设备制造业,专用设备制造业,Special equipment manufacturing
2338,工业,仪器仪表及文化、办公用机械制造业,仪器仪表制造业,"Instrumentation and cultural, office machinery manufacturing"
2339,工业,电器机械及器材制造业,电气机械及器材制造业,Electrical machinery and equipment manufacturing
